Info    : Reading '../results/t14/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t14/domain.msh'
> Iterations:
i =   0 | cost = -0.0203 | cstr = 1.0014 | nder = 0.0200 | steps =  0 | lagr = -0.0203 | lm = 0.0000 | mu = 0.0000 | 
i =   1 | cost = -0.0202 | cstr = 0.9962 | nder = 0.0271 | steps = 16 | lagr = -0.0202 | lm = -0.0076 | mu = 0.0000 | 
i =   2 | cost = -0.0207 | cstr = 1.0250 | nder = 0.0238 | steps = 15 | lagr = -0.0202 | lm = 0.0462 | mu = -0.0038 | 
i =   3 | cost = -0.0206 | cstr = 1.0194 | nder = 0.0373 | steps = 15 | lagr = -0.0198 | lm = 0.0599 | mu = 0.0211 | 
i =   4 | cost = -0.0204 | cstr = 1.0077 | nder = 0.0336 | steps = 15 | lagr = -0.0200 | lm = 0.0558 | mu = 0.0404 | 
i =   5 | cost = -0.0203 | cstr = 1.0061 | nder = 0.0379 | steps = 16 | lagr = -0.0200 | lm = 0.0602 | mu = 0.0481 | 
i =   6 | cost = -0.0202 | cstr = 0.9984 | nder = 0.0291 | steps = 15 | lagr = -0.0203 | lm = 0.0509 | mu = 0.0541 | 
i =   7 | cost = -0.0202 | cstr = 1.0030 | nder = 0.0364 | steps = 16 | lagr = -0.0201 | lm = 0.0584 | mu = 0.0525 | 
i =   8 | cost = -0.0201 | cstr = 0.9942 | nder = 0.0226 | steps = 16 | lagr = -0.0204 | lm = 0.0439 | mu = 0.0554 | 
i =   9 | cost = -0.0201 | cstr = 0.9974 | nder = 0.0232 | steps = 16 | lagr = -0.0203 | lm = 0.0445 | mu = 0.0497 | 
i =  10 | cost = -0.0201 | cstr = 0.9952 | nder = 0.0165 | steps = 16 | lagr = -0.0203 | lm = 0.0376 | mu = 0.0471 | 
i =  11 | cost = -0.0202 | cstr = 0.9977 | nder = 0.0166 | steps = 16 | lagr = -0.0203 | lm = 0.0377 | mu = 0.0424 | 
i =  12 | cost = -0.0202 | cstr = 1.0021 | nder = 0.0226 | steps = 16 | lagr = -0.0201 | lm = 0.0442 | mu = 0.0401 | 
i =  13 | cost = -0.0201 | cstr = 0.9961 | nder = 0.0133 | steps = 16 | lagr = -0.0203 | lm = 0.0343 | mu = 0.0421 | 
i =  14 | cost = -0.0202 | cstr = 0.9973 | nder = 0.0118 | steps = 16 | lagr = -0.0203 | lm = 0.0328 | mu = 0.0382 | 
i =  15 | cost = -0.0202 | cstr = 0.9998 | nder = 0.0140 | steps = 15 | lagr = -0.0202 | lm = 0.0352 | mu = 0.0356 | 
i =  16 | cost = -0.0202 | cstr = 0.9982 | nder = 0.0108 | steps = 15 | lagr = -0.0203 | lm = 0.0319 | mu = 0.0354 | 
i =  17 | cost = -0.0202 | cstr = 0.9994 | nder = 0.0113 | steps = 16 | lagr = -0.0203 | lm = 0.0324 | mu = 0.0337 | 
